FlightNum,UniqueCarrier (Airline),Origin,Dest,Distance
206,WN,MDW,SMF,1790
207,WN,MDW,STL,251
208,WN,MDW,TPA,997
209,WN,MDW,TUS,1440
210,WN,MHT,BWI,377
211,WN,MHT,LAS,2356
212,WN,MHT,MCO,1142
213,WN,MHT,MDW,838
214,WN,MHT,PHL,290
215,WN,MHT,PHX,2279
216,WN,MHT,TPA,1204
217,WN,MSY,BHM,321
218,WN,MSY,BWI,998
219,WN,MSY,DAL,437
220,WN,MSY,FLL,673
221,WN,MSY,HOU,303
222,WN,MSY,LAS,1501
223,WN,MSY,MCO,550
224,WN,MSY,MDW,825
225,WN,MSY,PHX,1301
226,WN,MSY,TPA,487
227,WN,OAK,ABQ,889
228,WN,OAK,BNA,1959
229,WN,OAK,BOI,511
230,WN,OAK,BUR,325
231,WN,OAK,DEN,957
232,WN,OAK,GEG,723
233,WN,OAK,HOU,1642
234,WN,OAK,LAS,407
235,WN,OAK,LAX,337
236,WN,OAK,MCI,1489
237,WN,OAK,MDW,1844
238,WN,OAK,ONT,361
239,WN,OAK,PDX,543
240,WN,OAK,PHX,646
241,WN,OAK,RNO,180
242,WN,OAK,SAN,446
243,WN,OAK,SEA,671
244,WN,OAK,SLC,588
245,WN,OAK,SNA,371
246,WN,OAK,TUS,747
247,WN,OKC,BWI,1180
248,WN,OKC,DAL,181
249,WN,OKC,DEN,495
250,WN,OKC,HOU,419
251,WN,OKC,LAS,987
252,WN,OKC,MCI,313
253,WN,OKC,PHX,833
254,WN,OKC,STL,462
255,WN,OMA,LAS,1099
256,WN,OMA,MDW,423
257,WN,OMA,PHX,1037
258,WN,OMA,STL,342
259,WN,ONT,BNA,1751
260,WN,ONT,LAS,197
261,WN,ONT,OAK,361
262,WN,ONT,PHX,325
263,WN,ONT,SJC,333
264,WN,ONT,SMF,389
265,WN,ORF,BWI,159
266,WN,ORF,JAX,543
267,WN,ORF,LAS,2155
268,WN,ORF,MCO,655
269,WN,ORF,MDW,704
270,WN,ORF,TPA,717
271,WN,PBI,BWI,883
272,WN,PBI,ISP,1052
273,WN,PBI,PHL,951
274,WN,PBI,TPA,174
275,WN,PDX,ABQ,1111
276,WN,PDX,BOI,344
277,WN,PDX,GEG,279
278,WN,PDX,LAS,762
279,WN,PDX,MDW,1751
280,WN,PDX,OAK,543
281,WN,PDX,PHX,1009
282,WN,PDX,RNO,444
283,WN,PDX,SJC,569
284,WN,PDX,SLC,630
285,WN,PDX,SMF,479
286,WN,PHL,BNA,675
287,WN,PHL,CMH,405
288,WN,PHL,FLL,992
289,WN,PHL,HOU,1335
290,WN,PHL,JAX,742
291,WN,PHL,LAS,2176
292,WN,PHL,MCO,861
293,WN,PHL,MDW,668
294,WN,PHL,MHT,290
295,WN,PHL,PBI,951
296,WN,PHL,PHX,2075
297,WN,PHL,PIT,267
298,WN,PHL,PVD,238
299,WN,PHL,RDU,336
300,WN,PHL,TPA,920
301,WN,PHX,ABQ,328
302,WN,PHX,AUS,872
303,WN,PHX,BHM,1455
304,WN,PHX,BNA,1448
305,WN,PHX,BUF,1912
306,WN,PHX,BUR,369
307,WN,PHX,BWI,1999
308,WN,PHX,CMH,1671
309,WN,PHX,DEN,602
310,WN,PHX,DTW,1671
311,WN,PHX,ELP,347
312,WN,PHX,HOU,1020
313,WN,PHX,IND,1489
314,WN,PHX,LAS,256
315,WN,PHX,LAX,370
316,WN,PHX,LIT,1136
317,WN,PHX,MCI,1044
318,WN,PHX,MDW,1444
319,WN,PHX,MHT,2279
320,WN,PHX,OAK,646
321,WN,PHX,OKC,833
322,WN,PHX,OMA,1037
323,WN,PHX,ONT,325
324,WN,PHX,PDX,1009
325,WN,PHX,PHL,2075
326,WN,PHX,PIT,1813
327,WN,PHX,RNO,601
328,WN,PHX,SAN,304
329,WN,PHX,SAT,843
330,WN,PHX,SEA,1107
331,WN,PHX,SJC,621
332,WN,PHX,SLC,507
333,WN,PHX,SMF,647
334,WN,PHX,SNA,338
335,WN,PHX,STL,1262
336,WN,PHX,TPA,1788
337,WN,PHX,TUL,935
338,WN,PIT,BWI,210
339,WN,PIT,LAS,1910
340,WN,PIT,MCO,834
341,WN,PIT,MDW,402
342,WN,PIT,PHL,267
343,WN,PIT,PHX,1813
344,WN,PIT,TPA,873
345,WN,PVD,BNA,907
346,WN,PVD,BWI,328
347,WN,PVD,FLL,1188
348,WN,PVD,LAS,2363
349,WN,PVD,MCO,1073
350,WN,PVD,MDW,842
351,WN,PVD,PHL,238
352,WN,PVD,PHX,2277
353,WN,PVD,TPA,1137
354,WN,RDU,BNA,443
355,WN,RDU,BWI,255
356,WN,RDU,MCO,534
357,WN,RDU,MDW,632
358,WN,RDU,PHL,336
359,WN,RDU,PHX,1891
360,WN,RDU,TPA,587
361,WN,RNO,BOI,335
362,WN,RNO,LAS,345
363,WN,RNO,LAX,390
364,WN,RNO,MDW,1680
365,WN,RNO,OAK,180
366,WN,RNO,PDX,444
367,WN,RNO,PHX,601
368,WN,RNO,SAN,488
